TYPE,WC,WPS,Sixltr,Dic,Numerals,function (Function Words),pronoun (Pronouns),ppron (Personal Pronouns),i (I),we (We),you (You),shehe (SheHe),they (They),ipron (Impersonal Pronouns),article (Articles),prep (Prepositions),auxverb (Auxiliary Verbs),adverb (Adverbs),conj (Conjunctions),negate (Negations),verb (Verbs),adj (Adjectives),compare (Comparisons),interrog (Interrogatives),number (Numbers),quant (Quantifiers),affect (Affect),posemo (Positive Emotions),negemo (Negative Emotions),anx (Anx),anger (Anger),sad (Sad),social (Social),family (Family),friend (Friends),female (Female),male (Male),cogproc (Cognitive Processes),insight (Insight),cause (Causal),discrep (Discrepancies),tentat (Tentative),certain (Certainty),differ (Differentiation),percept (Perceptual Processes),see (See),hear (Hear),feel (Feel),bio (Biological Processes),body (Body),health (Health),sexual (Sexual),ingest (Ingest),drives (Drives),affiliation (Affiliation),achieve (Achievement),power (Power),reward (Reward),risk (Risk),focuspast (Past Focus),focuspresent (Present Focus),focusfuture (Future Focus),relativ (Relativity),motion (Motion),space (Space),time (Time),work (Work),leisure (Leisure),home (Home),money (Money),relig (Religion),death (Death),informal (Informal Language),swear (Swear),netspeak (Netspeak),assent (Assent),nonflu (Nonfluencies),Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,
hiv_Celeb,1110,6.13,22.52,209.73,0.00,9.64,2.70,1.35,0.63,0.00,0.36,0.36,0.00,1.35,0.09,1.44,3.87,2.52,0.27,2.07,17.30,3.33,1.17,0.18,0.63,0.54,7.12,3.24,3.87,0.18,2.34,0.36,13.42,1.17,0.45,1.35,4.23,8.29,1.80,0.90,1.08,1.71,1.35,1.71,3.51,1.17,2.16,0.09,13.24,1.17,10.81,10.36,0.18,7.57,1.98,0.90,2.25,2.34,0.63,5.50,8.83,0.99,5.77,1.17,1.53,3.60,0.99,1.26,0.00,1.26,0.09,2.97,6.40,2.43,3.06,0.63,0.45,36.31,2.07,1.35,0.54,1.62,0.72,1.26,0.00,3.42,0.09,11.26,58.65,
hiv_DontKnow,440,4.63,36.14,174.77,0.00,6.14,2.27,2.05,0.91,0.00,0.68,0.45,0.00,0.23,0.23,0.68,1.59,1.82,0.23,0.23,9.32,2.73,1.59,0.00,1.36,0.23,8.86,4.77,4.09,0.00,2.95,0.23,4.77,0.00,0.23,0.45,0.23,5.91,1.59,1.36,0.23,0.45,1.59,0.68,1.82,0.91,0.23,0.68,15.45,1.36,12.50,10.00,0.68,8.64,1.36,1.59,4.32,1.82,0.00,1.59,7.27,0.91,4.77,1.59,1.14,2.73,5.68,0.68,0.23,1.59,0.45,0.23,6.14,3.18,3.86,0.00,0.23,50.91,2.73,2.50,0.68,0.68,0.23,2.73,0.00,2.73,0.34,35.91,99.43,
LIREG,NA,NA,NA,NA,NA,NA,-0.43,0.7,0.28,0.0,0.32,0.09,0.0,-1.12,0.14,-0.76,-2.28,-0.7,-0.04,-1.84,-7.98,-0.6,0.42,-0.18,0.73,-0.31,1.74,1.53,0.22,-0.18,0.61,-0.13,-8.65,-1.17,-0.22,-0.9,-4.0,-2.38,-0.21,0.46,-0.85,-1.26,0.24,-1.03,-1.69,-0.26,-1.93,0.59,2.21,0.19,1.69,-0.36,0.5,1.07,-0.62,0.69,2.07,-0.52,-0.63,-3.91,-1.56,-0.08,-1.0,0.42,-0.39,-0.87,4.69,-0.58,0.23,0.33,0.36,-2.74,-0.26,0.75,0.8,-0.63,-0.22,14.6,0.66,1.15,0.14,-0.94,-0.49,1.47,0.0,-0.69,0.25,24.65,40.78,
Positive = greater hiv_Celeb
Negative = greater hiv_DontKnow
