WC,WPS,Sixltr,Dic,Numerals,function (Function Words),pronoun (Pronouns),ppron (Personal Pronouns),i (I),we (We),you (You),shehe (SheHe),they (They),ipron (Impersonal Pronouns),article (Articles),prep (Prepositions),auxverb (Auxiliary Verbs),adverb (Adverbs),conj (Conjunctions),negate (Negations),verb (Verbs),adj (Adjectives),compare (Comparisons),interrog (Interrogatives),number (Numbers),quant (Quantifiers),affect (Affect),posemo (Positive Emotions),negemo (Negative Emotions),anx (Anx),anger (Anger),sad (Sad),social (Social),family (Family),friend (Friends),female (Female),male (Male),cogproc (Cognitive Processes),insight (Insight),cause (Causal),discrep (Discrepancies),tentat (Tentative),certain (Certainty),differ (Differentiation),percept (Perceptual Processes),see (See),hear (Hear),feel (Feel),bio (Biological Processes),body (Body),health (Health),sexual (Sexual),ingest (Ingest),drives (Drives),affiliation (Affiliation),achieve (Achievement),power (Power),reward (Reward),risk (Risk),focuspast (Past Focus),focuspresent (Present Focus),focusfuture (Future Focus),relativ (Relativity),motion (Motion),space (Space),time (Time),work (Work),leisure (Leisure),home (Home),money (Money),relig (Religion),death (Death),informal (Informal Language),swear (Swear),netspeak (Netspeak),assent (Assent),nonflu (Nonfluencies),Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,
3499,5.46,28.64,210.00,0.00,8.49,2.54,1.51,0.63,0.06,0.51,0.31,0.00,1.03,0.31,1.31,3.00,1.97,0.26,1.69,15.29,3.86,1.40,0.11,0.69,0.49,7.32,3.72,3.54,0.23,2.09,0.46,10.40,0.86,0.51,1.00,1.86,8.80,2.52,1.40,1.34,1.40,1.34,1.20,3.00,0.89,1.51,0.51,16.49,1.17,13.55,12.12,0.46,8.29,1.97,1.40,2.37,2.54,0.66,3.83,9.23,1.09,7.86,1.94,1.97,4.34,3.12,1.80,0.31,1.03,0.14,1.66,4.60,1.94,2.29,0.23,0.20,41.84,2.31,1.54,0.60,1.29,0.83,1.60,0.00,3.03,0.27,18.49,71.81,
212,6.24,18.40,236.32,0.00,10.85,3.77,2.36,0.94,0.00,1.42,0.00,0.00,1.42,0.94,0.47,4.25,1.89,0.00,1.89,20.75,2.83,0.94,0.00,0.00,0.00,6.60,2.83,3.77,0.94,1.89,0.47,11.32,0.94,1.42,0.94,1.42,9.43,0.47,1.89,2.83,0.94,1.89,1.89,3.30,2.36,0.94,0.00,17.45,0.47,13.68,15.57,1.42,6.13,2.83,0.47,0.47,2.83,0.00,4.25,14.15,1.42,8.96,4.72,1.89,3.30,2.36,2.36,0.47,1.42,0.00,0.94,7.55,3.77,3.77,0.47,0.00,30.19,3.30,0.94,0.94,0.47,3.30,2.83,0.00,2.83,0.47,19.81,65.09,
NA,NA,NA,NA,NA,NA,1.23,0.85,0.31,-0.06,0.91,-0.31,0.0,0.39,0.63,-0.84,1.25,-0.08,-0.26,0.2,5.46,-1.03,-0.46,-0.11,-0.69,-0.49,-0.72,-0.89,0.23,0.71,-0.2,0.01,0.92,0.08,0.91,-0.06,-0.44,0.63,-2.05,0.49,1.49,-0.46,0.55,0.69,0.3,1.47,-0.57,-0.51,0.96,-0.7,0.13,3.45,0.96,-2.16,0.86,-0.93,-1.9,0.29,-0.66,0.42,4.92,0.33,1.1,2.78,-0.08,-1.04,-0.76,0.56,0.16,0.39,-0.14,-0.72,2.95,1.83,1.48,0.24,-0.2,-11.65,0.99,-0.6,0.34,-0.82,2.47,1.23,0.0,-0.2,0.2,1.32,-6.72,
