WC,WPS,Sixltr,Dic,Numerals,function (Function Words),pronoun (Pronouns),ppron (Personal Pronouns),i (I),we (We),you (You),shehe (SheHe),they (They),ipron (Impersonal Pronouns),article (Articles),prep (Prepositions),auxverb (Auxiliary Verbs),adverb (Adverbs),conj (Conjunctions),negate (Negations),verb (Verbs),adj (Adjectives),compare (Comparisons),interrog (Interrogatives),number (Numbers),quant (Quantifiers),affect (Affect),posemo (Positive Emotions),negemo (Negative Emotions),anx (Anx),anger (Anger),sad (Sad),social (Social),family (Family),friend (Friends),female (Female),male (Male),cogproc (Cognitive Processes),insight (Insight),cause (Causal),discrep (Discrepancies),tentat (Tentative),certain (Certainty),differ (Differentiation),percept (Perceptual Processes),see (See),hear (Hear),feel (Feel),bio (Biological Processes),body (Body),health (Health),sexual (Sexual),ingest (Ingest),drives (Drives),affiliation (Affiliation),achieve (Achievement),power (Power),reward (Reward),risk (Risk),focuspast (Past Focus),focuspresent (Present Focus),focusfuture (Future Focus),relativ (Relativity),motion (Motion),space (Space),time (Time),work (Work),leisure (Leisure),home (Home),money (Money),relig (Religion),death (Death),informal (Informal Language),swear (Swear),netspeak (Netspeak),assent (Assent),nonflu (Nonfluencies),Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,
3581,6.94,28.15,208.43,0.00,8.43,2.49,1.45,0.61,0.03,0.50,0.31,0.00,1.03,0.25,1.28,3.07,1.98,0.25,1.70,15.22,3.85,1.37,0.11,0.67,0.47,7.29,3.66,3.57,0.25,2.09,0.47,10.30,0.89,0.50,0.98,1.90,8.74,2.54,1.37,1.31,1.40,1.31,1.20,2.99,0.89,1.48,0.53,16.22,1.17,13.38,11.90,0.45,8.15,1.90,1.37,2.35,2.51,0.67,3.85,9.13,1.09,7.79,1.93,1.98,4.27,3.13,1.79,0.31,1.01,0.14,1.65,4.69,1.95,2.35,0.28,0.22,36.83,0.08,1.90,0.64,1.26,0.92,0.78,0.00,2.99,0.27,17.31,62.99,
214,7.13,18.22,244.86,0.00,11.21,3.74,2.34,0.93,0.00,1.40,0.00,0.00,1.40,0.93,0.47,5.14,1.87,0.00,1.87,21.50,3.74,1.40,0.00,0.00,0.47,7.01,3.27,3.74,0.93,1.87,0.47,11.68,1.40,1.40,0.93,1.87,9.81,0.47,1.87,3.27,0.93,1.87,1.87,3.74,2.34,0.93,0.00,17.76,0.47,13.55,15.42,1.87,6.54,3.27,0.47,0.47,2.80,0.00,4.21,14.49,1.40,8.88,4.67,1.87,3.27,2.34,2.34,0.47,1.40,0.00,0.93,7.94,3.74,3.74,0.47,0.00,27.57,0.00,0.93,0.93,0.93,3.27,2.80,0.00,3.27,0.47,19.63,59.81,
NA,NA,NA,NA,NA,NA,1.25,0.89,0.32,-0.03,0.9,-0.31,0.0,0.37,0.68,-0.81,2.07,-0.11,-0.25,0.17,6.28,-0.11,0.03,-0.11,-0.67,-5.55111512313e-17,-0.28,-0.39,0.17,0.68,-0.22,-5.55111512313e-17,1.38,0.51,0.9,-0.05,-0.03,1.07,-2.07,0.5,1.96,-0.47,0.56,0.67,0.75,1.45,-0.55,-0.53,1.54,-0.7,0.17,3.52,1.42,-1.61,1.37,-0.9,-1.88,0.29,-0.67,0.36,5.36,0.31,1.09,2.74,-0.11,-1.0,-0.79,0.55,0.16,0.39,-0.14,-0.72,3.25,1.79,1.39,0.19,-0.22,-9.26,-0.08,-0.97,0.29,-0.33,2.35,2.02,0.0,0.28,0.2,2.32,-3.18,
