WC,WPS,Sixltr,Dic,Numerals,function (Function Words),pronoun (Pronouns),ppron (Personal Pronouns),i (I),we (We),you (You),shehe (SheHe),they (They),ipron (Impersonal Pronouns),article (Articles),prep (Prepositions),auxverb (Auxiliary Verbs),adverb (Adverbs),conj (Conjunctions),negate (Negations),verb (Verbs),adj (Adjectives),compare (Comparisons),interrog (Interrogatives),number (Numbers),quant (Quantifiers),affect (Affect),posemo (Positive Emotions),negemo (Negative Emotions),anx (Anx),anger (Anger),sad (Sad),social (Social),family (Family),friend (Friends),female (Female),male (Male),cogproc (Cognitive Processes),insight (Insight),cause (Causal),discrep (Discrepancies),tentat (Tentative),certain (Certainty),differ (Differentiation),percept (Perceptual Processes),see (See),hear (Hear),feel (Feel),bio (Biological Processes),body (Body),health (Health),sexual (Sexual),ingest (Ingest),drives (Drives),affiliation (Affiliation),achieve (Achievement),power (Power),reward (Reward),risk (Risk),focuspast (Past Focus),focuspresent (Present Focus),focusfuture (Future Focus),relativ (Relativity),motion (Motion),space (Space),time (Time),work (Work),leisure (Leisure),home (Home),money (Money),relig (Religion),death (Death),informal (Informal Language),swear (Swear),netspeak (Netspeak),assent (Assent),nonflu (Nonfluencies),Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,
212,6.24,18.40,236.32,0.00,10.85,3.77,2.36,0.94,0.00,1.42,0.00,0.00,1.42,0.94,0.47,4.25,1.89,0.00,1.89,20.75,2.83,0.94,0.00,0.00,0.00,6.60,2.83,3.77,0.94,1.89,0.47,11.32,0.94,1.42,0.94,1.42,9.43,0.47,1.89,2.83,0.94,1.89,1.89,3.30,2.36,0.94,0.00,17.45,0.47,13.68,15.57,1.42,6.13,2.83,0.47,0.47,2.83,0.00,4.25,14.15,1.42,8.96,4.72,1.89,3.30,2.36,2.36,0.47,1.42,0.00,0.94,7.55,3.77,3.77,0.47,0.00,30.19,3.30,0.94,0.94,0.47,3.30,2.83,0.00,2.83,0.47,19.81,65.09,
6,6.00,33.33,216.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,33.33,16.67,83.33,
NA,NA,NA,NA,NA,NA,-3.77,-2.36,-0.94,0.0,-1.42,0.0,0.0,-1.42,-0.94,-0.47,-4.25,-1.89,0.0,-1.89,-20.75,13.84,-0.94,0.0,0.0,0.0,10.07,-2.83,12.9,-0.94,-1.89,16.2,5.35,-0.94,-1.42,-0.94,-1.42,-9.43,-0.47,-1.89,-2.83,-0.94,-1.89,-1.89,-3.3,-2.36,-0.94,0.0,-17.45,-0.47,-13.68,-15.57,-1.42,27.2,13.84,16.2,-0.47,-2.83,0.0,-4.25,-14.15,-1.42,24.37,-4.72,31.44,-3.3,-2.36,-2.36,-0.47,-1.42,0.0,-0.94,-7.55,-3.77,-3.77,-0.47,0.0,-30.19,-3.3,32.39,-0.94,-0.47,-3.3,-2.83,0.0,-2.83,32.86,-3.14,18.24,
